Game Number,Score,Tiles Closed,Rolls,Moves
1,36,3,"[(1, 1), (1, 6), (4, 2)]","[(2,), (1, 6)]"
2,31,4,"[(1, 6), (1, 6), (5, 2)]","[(1, 2, 4), (7,)]"
3,12,7,"[(6, 2), (5, 4), (5, 2), (6, 3), (4, 1)]","[(1, 2, 5), (3, 6), (7,), (9,)]"
4,32,4,"[(4, 1), (2, 6), (5, 1)]","[(1, 4), (2, 6)]"
5,28,5,"[(4, 3), (1, 2), (5, 2), (6, 1)]","[(1, 2, 4), (3,), (7,)]"
6,35,4,"[(5, 5), (5, 5)]","[(1, 2, 3, 4)]"
7,28,5,"[(5, 3), (3, 6), (2, 4)]","[(1, 2, 5), (3, 6)]"
8,29,5,"[(4, 2), (5, 5), (1, 2)]","[(1, 2, 3), (4, 6)]"
9,35,4,"[(5, 5), (1, 3)]","[(1, 2, 3, 4)]"
10,14,7,"[(6, 4), (3, 3), (4, 4), (2, 5), (4, 4)]","[(1, 2, 3, 4), (6,), (8,), (7,)]"
11,27,5,"[(5, 6), (1, 6), (4, 1)]","[(1, 2, 3, 5), (7,)]"
12,27,5,"[(3, 3), (2, 2), (6, 2), (2, 6)]","[(1, 2, 3), (4,), (8,)]"
13,28,5,"[(5, 5), (4, 3), (1, 2)]","[(1, 2, 3, 4), (7,)]"
14,36,3,"[(6, 3), (4, 2)]","[(1, 2, 6)]"
15,20,6,"[(5, 2), (6, 3), (4, 5), (4, 6)]","[(1, 2, 4), (3, 6), (9,)]"
16,38,3,"[(4, 3), (2, 2)]","[(1, 2, 4)]"
17,22,6,"[(5, 2), (4, 3), (6, 3), (2, 5)]","[(1, 2, 4), (7,), (3, 6)]"
18,17,7,"[(5, 4), (1, 3), (5, 3), (2, 5), (2, 2)]","[(1, 2, 6), (4,), (3, 5), (7,)]"
19,16,7,"[(6, 3), (3, 6), (6, 5), (6, 6)]","[(1, 2, 6), (4, 5), (3, 8)]"
20,21,6,"[(3, 6), (5, 3), (1, 6), (1, 1)]","[(1, 2, 6), (3, 5), (7,)]"
