Game Number,Score,Tiles Closed,Rolls,Moves
1,28,5,"[(6, 2), (3, 6), (5, 1)]","[(1, 2, 5), (3, 6)]"
2,21,6,"[(5, 4), (3, 5), (4, 3), (2, 5)]","[(1, 2, 6), (3, 5), (7,)]"
3,20,6,"[(2, 2), (2, 6), (4, 4), (1, 4), (6, 4)]","[(1, 3), (2, 6), (8,), (5,)]"
4,24,6,"[(6, 4), (1, 4), (2, 4), (1, 3)]","[(1, 2, 3, 4), (5,), (6,)]"
5,18,6,"[(3, 2), (1, 6), (4, 2), (3, 6), (2, 2)]","[(1, 4), (2, 5), (6,), (9,)]"
6,6,8,"[(1, 6), (4, 6), (5, 3), (4, 1), (5, 4), (6, 3)]","[(1, 2, 4), (3, 7), (8,), (5,), (9,)]"
7,30,5,"[(1, 4), (4, 6), (1, 4)]","[(1, 4), (2, 3, 5)]"
8,35,4,"[(2, 1), (5, 2), (2, 2)]","[(1, 2), (3, 4)]"
9,24,6,"[(6, 3), (2, 1), (3, 6), (1, 5)]","[(1, 2, 6), (3,), (4, 5)]"
10,29,5,"[(6, 4), (2, 4), (3, 3)]","[(1, 2, 3, 4), (6,)]"
11,23,6,"[(3, 1), (1, 4), (3, 3), (1, 6), (6, 4)]","[(1, 3), (5,), (2, 4), (7,)]"
12,29,5,"[(6, 3), (4, 3), (5, 1)]","[(1, 2, 6), (3, 4)]"
13,21,6,"[(1, 2), (6, 6), (3, 6), (6, 3)]","[(1, 2), (3, 4, 5), (9,)]"
14,38,3,"[(4, 3), (1, 1)]","[(1, 2, 4)]"
15,34,4,"[(6, 5), (2, 1)]","[(1, 2, 3, 5)]"
16,19,6,"[(4, 1), (6, 6), (6, 3), (4, 5)]","[(1, 4), (2, 3, 7), (9,)]"
17,12,7,"[(5, 4), (6, 3), (5, 3), (1, 6), (5, 3)]","[(1, 2, 6), (4, 5), (8,), (7,)]"
18,32,4,"[(6, 1), (3, 3), (1, 1)]","[(1, 2, 4), (6,)]"
19,35,4,"[(3, 1), (4, 2), (2, 2)]","[(1, 3), (2, 4)]"
20,38,3,"[(5, 2), (2, 2)]","[(1, 2, 4)]"
21,24,6,"[(6, 1), (5, 4), (1, 4), (1, 3)]","[(1, 2, 4), (3, 6), (5,)]"
22,21,6,"[(4, 2), (1, 3), (1, 5), (3, 5), (2, 1)]","[(1, 2, 3), (4,), (6,), (8,)]"
23,26,5,"[(5, 1), (1, 6), (2, 4), (1, 6)]","[(1, 2, 3), (7,), (6,)]"
24,33,4,"[(3, 2), (5, 2), (1, 4)]","[(1, 4), (2, 5)]"
25,0,9,"[(2, 2), (2, 4), (6, 2), (3, 3), (6, 3), (6, 6)]","[(1, 3), (2, 4), (8,), (6,), (9,), (5, 7)]"
26,32,4,"[(2, 5), (1, 5), (3, 3)]","[(1, 2, 4), (6,)]"
27,29,5,"[(4, 6), (5, 1), (1, 5)]","[(1, 2, 3, 4), (6,)]"
28,23,6,"[(4, 4), (6, 4), (1, 3), (2, 5)]","[(1, 2, 5), (3, 7), (4,)]"
29,24,6,"[(4, 6), (6, 5), (5, 1)]","[(1, 2, 3, 4), (5, 6)]"
30,19,6,"[(6, 5), (4, 5), (5, 1), (2, 3)]","[(1, 2, 3, 5), (9,), (6,)]"
31,0,9,"[(5, 1), (5, 6), (2, 3), (3, 6), (2, 4), (5, 3)]","[(1, 2, 3), (4, 7), (5,), (9,), (6,), (8,)]"
32,30,5,"[(1, 3), (4, 1), (2, 4), (5, 5)]","[(1, 3), (5,), (2, 4)]"
33,20,6,"[(3, 2), (6, 5), (4, 5), (2, 1)]","[(1, 4), (2, 3, 6), (9,)]"
34,16,7,"[(1, 2), (5, 4), (3, 6), (6, 2), (6, 6)]","[(1, 2), (3, 6), (4, 5), (8,)]"
35,22,6,"[(3, 1), (2, 2), (2, 6), (2, 5), (3, 3)]","[(1, 3), (4,), (2, 6), (7,)]"
36,33,4,"[(6, 6), (2, 1)]","[(1, 2, 3, 6)]"
37,20,6,"[(2, 4), (6, 6), (4, 3), (5, 3)]","[(1, 2, 3), (4, 8), (7,)]"
38,26,5,"[(6, 5), (2, 6), (4, 1)]","[(1, 2, 3, 5), (8,)]"
39,29,5,"[(4, 6), (4, 2), (2, 2)]","[(1, 2, 3, 4), (6,)]"
40,29,5,"[(1, 4), (5, 6), (2, 1)]","[(1, 4), (2, 3, 6)]"
41,23,6,"[(6, 1), (6, 1), (5, 3), (1, 4)]","[(1, 2, 4), (7,), (3, 5)]"
42,32,4,"[(6, 1), (5, 1), (1, 1)]","[(1, 2, 4), (6,)]"
43,38,3,"[(2, 5), (2, 2)]","[(1, 2, 4)]"
44,28,5,"[(5, 3), (6, 3), (2, 4)]","[(1, 2, 5), (3, 6)]"
45,11,7,"[(3, 4), (4, 3), (6, 5), (5, 4), (1, 6)]","[(1, 2, 4), (7,), (3, 8), (9,)]"
46,27,5,"[(4, 4), (5, 5), (1, 1)]","[(1, 2, 5), (3, 7)]"
47,25,5,"[(6, 3), (1, 2), (3, 5), (6, 2)]","[(1, 2, 6), (3,), (8,)]"
48,28,5,"[(5, 5), (2, 5), (3, 1)]","[(1, 2, 3, 4), (7,)]"
49,27,5,"[(2, 2), (5, 2), (1, 6), (3, 2)]","[(1, 3), (2, 5), (7,)]"
50,35,4,"[(1, 5), (1, 3), (2, 1)]","[(1, 2, 3), (4,)]"
51,38,3,"[(3, 4), (1, 3)]","[(1, 2, 4)]"
52,27,5,"[(6, 3), (4, 5), (1, 4)]","[(1, 2, 6), (4, 5)]"
53,33,4,"[(4, 5), (1, 2), (2, 1)]","[(1, 2, 6), (3,)]"
54,0,9,"[(6, 5), (2, 4), (5, 3), (6, 5), (5, 4)]","[(1, 2, 3, 5), (6,), (8,), (4, 7), (9,)]"
55,35,4,"[(2, 2), (2, 4), (1, 1)]","[(1, 3), (2, 4)]"
56,31,4,"[(3, 6), (1, 4), (3, 3)]","[(1, 2, 6), (5,)]"
57,26,5,"[(5, 1), (4, 1), (5, 3), (5, 3)]","[(1, 2, 3), (5,), (8,)]"
58,32,4,"[(2, 4), (6, 1), (2, 1)]","[(1, 2, 3), (7,)]"
59,22,6,"[(4, 2), (3, 6), (3, 5), (2, 1)]","[(1, 2, 3), (4, 5), (8,)]"
60,26,5,"[(6, 6), (3, 4), (6, 1)]","[(1, 2, 3, 6), (7,)]"
61,22,6,"[(2, 6), (1, 6), (5, 3), (3, 5)]","[(1, 2, 5), (3, 4), (8,)]"
62,35,4,"[(4, 1), (1, 4), (2, 1)]","[(1, 4), (2, 3)]"
63,34,4,"[(2, 1), (3, 5), (1, 4)]","[(1, 2), (3, 5)]"
64,24,6,"[(5, 6), (5, 5), (1, 5)]","[(1, 2, 3, 5), (4, 6)]"
65,32,4,"[(4, 2), (2, 5), (1, 1)]","[(1, 2, 3), (7,)]"
66,31,4,"[(2, 4), (4, 4), (2, 6)]","[(1, 2, 3), (8,)]"
67,11,7,"[(2, 6), (4, 2), (6, 6), (4, 4), (1, 2)]","[(1, 2, 5), (6,), (3, 9), (8,)]"
68,16,7,"[(2, 2), (4, 6), (3, 2), (1, 5), (2, 2), (6, 4)]","[(1, 3), (2, 8), (5,), (6,), (4,)]"
69,22,6,"[(5, 5), (2, 4), (6, 1), (1, 5)]","[(1, 2, 3, 4), (6,), (7,)]"
70,30,5,"[(5, 3), (6, 1), (4, 1)]","[(1, 2, 5), (3, 4)]"
71,32,4,"[(4, 3), (5, 1), (4, 2)]","[(1, 2, 4), (6,)]"
72,19,6,"[(2, 5), (6, 4), (3, 6), (3, 6)]","[(1, 2, 4), (3, 7), (9,)]"
73,29,5,"[(6, 6), (1, 3), (4, 2)]","[(1, 2, 3, 6), (4,)]"
74,8,8,"[(4, 3), (2, 1), (3, 6), (5, 1), (3, 4), (4, 1), (2, 5)]","[(1, 2, 4), (3,), (9,), (6,), (7,), (5,)]"
75,20,6,"[(1, 4), (3, 3), (6, 3), (2, 3), (5, 5)]","[(1, 4), (6,), (2, 7), (5,)]"
76,25,5,"[(1, 4), (3, 6), (5, 1), (3, 4)]","[(1, 4), (2, 7), (6,)]"
77,20,6,"[(4, 3), (4, 5), (5, 4), (1, 5)]","[(1, 2, 4), (3, 6), (9,)]"
78,32,4,"[(6, 1), (2, 4), (5, 1)]","[(1, 2, 4), (6,)]"
79,21,6,"[(6, 2), (5, 5), (5, 1), (1, 4)]","[(1, 2, 5), (3, 7), (6,)]"
80,6,8,"[(2, 6), (4, 6), (1, 3), (4, 4), (3, 6), (3, 2)]","[(1, 2, 5), (3, 7), (4,), (8,), (9,)]"
