Game Number,Score,Tiles Closed,Rolls,Moves
1,28,5,"[(1, 3), (1, 3), (6, 3), (2, 2)]","[(1, 3), (4,), (2, 7)]"
2,19,6,"[(6, 5), (5, 3), (2, 5), (3, 4)]","[(1, 2, 3, 5), (8,), (7,)]"
3,31,4,"[(2, 5), (4, 3), (6, 4)]","[(1, 2, 4), (7,)]"
4,17,7,"[(5, 4), (5, 3), (3, 1), (4, 3), (5, 2)]","[(1, 2, 6), (3, 5), (4,), (7,)]"
5,31,4,"[(3, 4), (2, 5), (3, 1)]","[(1, 2, 4), (7,)]"
6,35,4,"[(6, 4), (2, 1)]","[(1, 2, 3, 4)]"
7,20,6,"[(4, 3), (1, 4), (1, 6), (1, 5), (2, 2)]","[(1, 2, 4), (5,), (7,), (6,)]"
8,29,5,"[(6, 3), (4, 3), (1, 3)]","[(1, 2, 6), (3, 4)]"
9,26,5,"[(6, 5), (5, 3), (3, 5)]","[(1, 2, 3, 5), (8,)]"
10,13,7,"[(4, 3), (5, 2), (4, 2), (5, 4), (1, 2), (6, 3)]","[(1, 2, 4), (7,), (6,), (9,), (3,)]"
11,24,6,"[(6, 3), (6, 6), (1, 2)]","[(1, 2, 6), (3, 4, 5)]"
12,39,3,"[(5, 1), (1, 1)]","[(1, 2, 3)]"
13,30,5,"[(4, 6), (2, 3), (5, 5)]","[(1, 2, 3, 4), (5,)]"
14,13,7,"[(5, 3), (4, 4), (5, 4), (1, 6), (1, 2)]","[(1, 2, 5), (8,), (3, 6), (7,)]"
15,5,8,"[(2, 2), (6, 6), (6, 2), (5, 2), (3, 6), (4, 3)]","[(1, 3), (2, 4, 6), (8,), (7,), (9,)]"
16,23,6,"[(4, 1), (5, 4), (5, 3), (1, 6)]","[(1, 4), (2, 7), (3, 5)]"
17,19,6,"[(6, 5), (5, 4), (3, 3), (5, 1)]","[(1, 2, 3, 5), (9,), (6,)]"
18,18,6,"[(1, 2), (6, 3), (5, 3), (2, 5), (6, 2)]","[(1, 2), (3, 6), (8,), (7,)]"
19,37,3,"[(1, 1), (2, 4), (1, 4)]","[(2,), (1, 5)]"
20,29,5,"[(1, 1), (3, 1), (5, 5), (5, 6)]","[(2,), (1, 3), (4, 6)]"
21,18,6,"[(5, 1), (1, 3), (3, 5), (5, 4), (1, 2)]","[(1, 2, 3), (4,), (8,), (9,)]"
22,26,5,"[(2, 2), (3, 5), (5, 2), (1, 5)]","[(1, 3), (2, 6), (7,)]"
23,35,4,"[(6, 4), (2, 1)]","[(1, 2, 3, 4)]"
24,9,8,"[(4, 3), (6, 5), (5, 6), (4, 3), (2, 5)]","[(1, 2, 4), (3, 8), (5, 6), (7,)]"
25,36,3,"[(3, 6), (4, 2)]","[(1, 2, 6)]"
26,0,9,"[(1, 4), (6, 3), (5, 6), (5, 4), (5, 6)]","[(1, 4), (2, 7), (3, 8), (9,), (5, 6)]"
27,22,6,"[(3, 3), (3, 6), (6, 2), (3, 1)]","[(1, 2, 3), (4, 5), (8,)]"
28,24,6,"[(4, 1), (2, 4), (1, 2), (2, 5), (3, 3)]","[(1, 4), (6,), (3,), (2, 5)]"
