Game Number,Score,Tiles Closed,Rolls,Moves
1,40,2,"[(1, 4), (1, 3)]","[(1, 4)]"
2,28,5,"[(6, 2), (3, 6), (2, 1)]","[(1, 2, 5), (3, 6)]"
3,32,4,"[(5, 2), (1, 5), (2, 2)]","[(1, 2, 4), (6,)]"
4,30,5,"[(4, 2), (5, 4), (5, 5)]","[(1, 2, 3), (4, 5)]"
5,16,7,"[(2, 2), (6, 4), (3, 2), (1, 5), (3, 1), (6, 4)]","[(1, 3), (2, 8), (5,), (6,), (4,)]"
6,33,4,"[(6, 6), (4, 6)]","[(1, 2, 3, 6)]"
7,17,7,"[(1, 5), (2, 5), (4, 6), (1, 4), (1, 5)]","[(1, 2, 3), (7,), (4, 6), (5,)]"
8,15,7,"[(3, 5), (4, 6), (6, 2), (1, 3), (2, 3)]","[(1, 2, 5), (3, 7), (8,), (4,)]"
9,28,5,"[(4, 6), (5, 2), (2, 1)]","[(1, 2, 3, 4), (7,)]"
10,33,4,"[(4, 5), (2, 1), (1, 2)]","[(1, 2, 6), (3,)]"
11,23,6,"[(6, 1), (3, 4), (5, 3), (4, 3)]","[(1, 2, 4), (7,), (3, 5)]"
12,24,6,"[(4, 5), (4, 4), (1, 3), (3, 1)]","[(1, 2, 6), (3, 5), (4,)]"
13,35,4,"[(6, 4), (3, 1)]","[(1, 2, 3, 4)]"
14,19,6,"[(1, 2), (2, 4), (3, 6), (5, 3), (6, 2)]","[(1, 2), (6,), (4, 5), (8,)]"
15,16,6,"[(5, 4), (1, 3), (1, 6), (5, 4), (3, 3)]","[(1, 2, 6), (4,), (7,), (9,)]"
16,22,6,"[(2, 4), (1, 5), (6, 5), (3, 3)]","[(1, 2, 3), (6,), (4, 7)]"
17,21,6,"[(3, 4), (5, 3), (5, 4), (5, 6)]","[(1, 2, 4), (3, 5), (9,)]"
18,24,6,"[(5, 1), (1, 4), (6, 4), (4, 1)]","[(1, 2, 3), (5,), (4, 6)]"
19,29,5,"[(4, 5), (3, 4), (5, 1)]","[(1, 2, 6), (3, 4)]"
20,27,5,"[(6, 4), (3, 5), (2, 6)]","[(1, 2, 3, 4), (8,)]"
21,19,6,"[(5, 5), (5, 2), (3, 6), (6, 3)]","[(1, 2, 3, 4), (7,), (9,)]"
22,23,6,"[(5, 5), (6, 6), (3, 1)]","[(1, 2, 3, 4), (5, 7)]"
23,15,7,"[(5, 3), (3, 5), (1, 2), (6, 5), (1, 2)]","[(1, 2, 5), (8,), (3,), (4, 7)]"
24,11,7,"[(4, 4), (4, 2), (6, 5), (6, 3), (4, 2)]","[(1, 2, 5), (6,), (3, 8), (9,)]"
25,28,5,"[(5, 3), (6, 3), (1, 5)]","[(1, 2, 5), (3, 6)]"
26,26,5,"[(5, 1), (6, 2), (1, 4), (6, 2)]","[(1, 2, 3), (8,), (5,)]"
27,30,5,"[(1, 6), (4, 4), (1, 4)]","[(1, 2, 4), (3, 5)]"
28,9,8,"[(5, 2), (5, 3), (4, 2), (6, 1), (3, 5), (3, 2)]","[(1, 2, 4), (3, 5), (6,), (7,), (8,)]"
29,15,7,"[(6, 3), (5, 4), (6, 6), (4, 5)]","[(1, 2, 6), (4, 5), (3, 9)]"
30,0,9,"[(6, 5), (2, 4), (3, 6), (5, 6), (2, 6)]","[(1, 2, 3, 5), (6,), (9,), (4, 7), (8,)]"
31,29,5,"[(2, 5), (6, 3), (1, 1)]","[(1, 2, 4), (3, 6)]"
32,28,5,"[(2, 3), (3, 6), (1, 2), (4, 3)]","[(1, 4), (2, 7), (3,)]"
33,39,3,"[(2, 4), (1, 2)]","[(1, 2, 3)]"
34,16,7,"[(6, 3), (6, 5), (6, 3), (3, 5)]","[(1, 2, 6), (3, 8), (4, 5)]"
35,35,4,"[(5, 5), (5, 5)]","[(1, 2, 3, 4)]"
36,30,5,"[(1, 5), (6, 3), (1, 3)]","[(1, 2, 3), (4, 5)]"
37,28,5,"[(6, 5), (3, 3), (1, 4)]","[(1, 2, 3, 5), (6,)]"
38,28,5,"[(6, 2), (3, 6), (6, 4)]","[(1, 2, 5), (3, 6)]"
39,33,4,"[(5, 2), (3, 2), (1, 1)]","[(1, 2, 4), (5,)]"
40,34,4,"[(1, 2), (2, 6), (1, 4)]","[(1, 2), (3, 5)]"
41,26,5,"[(2, 5), (3, 2), (6, 1), (6, 1)]","[(1, 2, 4), (5,), (7,)]"
42,31,4,"[(2, 3), (5, 4), (5, 2)]","[(1, 4), (2, 7)]"
43,16,7,"[(1, 4), (3, 3), (3, 4), (6, 5), (2, 2)]","[(1, 4), (6,), (2, 5), (3, 8)]"
44,25,5,"[(2, 2), (2, 6), (2, 6), (6, 4)]","[(1, 3), (2, 6), (8,)]"
45,25,5,"[(2, 6), (2, 6), (2, 2), (1, 3)]","[(1, 2, 5), (8,), (4,)]"
46,31,4,"[(2, 5), (4, 3), (1, 1)]","[(1, 2, 4), (7,)]"
47,27,5,"[(4, 4), (4, 6), (6, 1)]","[(1, 2, 5), (3, 7)]"
48,21,6,"[(3, 4), (3, 3), (6, 5), (6, 2)]","[(1, 2, 4), (6,), (3, 8)]"
49,24,6,"[(1, 2), (6, 2), (1, 3), (1, 5), (2, 3)]","[(1, 2), (3, 5), (4,), (6,)]"
50,19,6,"[(6, 3), (3, 2), (3, 6), (1, 2), (5, 4)]","[(1, 2, 6), (5,), (9,), (3,)]"
51,33,4,"[(6, 6), (4, 2)]","[(1, 2, 3, 6)]"
52,27,5,"[(5, 3), (4, 6), (5, 6)]","[(1, 2, 5), (3, 7)]"
53,32,4,"[(2, 3), (4, 4), (5, 1)]","[(1, 4), (2, 6)]"
54,22,6,"[(3, 4), (6, 1), (5, 4), (3, 4)]","[(1, 2, 4), (7,), (3, 6)]"
