Game Number,Score,Tiles Closed,Rolls,Moves
1,20,5,"[(3, 2), (5, 3), (3, 4), (3, 2), (4, 6)]","[(5,), (8,), (7,), (1, 4)]"
2,10,6,"[(1, 2), (3, 6), (3, 1), (6, 5), (3, 5), (4, 1)]","[(3,), (9,), (4,), (5, 6), (8,)]"
3,12,6,"[(1, 3), (5, 2), (1, 2), (2, 3), (5, 1), (4, 4), (3, 5)]","[(4,), (7,), (3,), (5,), (6,), (8,)]"
4,10,5,"[(2, 6), (6, 3), (1, 6), (3, 2), (5, 1), (6, 6)]","[(8,), (9,), (7,), (5,), (6,)]"
5,7,8,"[(6, 5), (3, 6), (3, 5), (6, 4), (2, 2)]","[(2, 9), (1, 8), (3, 5), (4, 6)]"
6,3,8,"[(1, 1), (1, 6), (2, 3), (5, 5), (6, 6), (4, 2), (5, 6)]","[(2,), (7,), (5,), (1, 9), (4, 8), (6,)]"
7,19,6,"[(1, 2), (2, 4), (4, 2), (6, 5), (3, 2)]","[(3,), (6,), (1, 5), (2, 9)]"
8,1,8,"[(1, 2), (3, 1), (3, 5), (6, 3), (1, 6), (1, 4), (3, 5), (1, 2)]","[(3,), (4,), (8,), (9,), (7,), (5,), (2, 6)]"
9,4,7,"[(3, 1), (5, 6), (1, 4), (2, 5), (5, 3), (3, 3), (6, 6)]","[(4,), (2, 9), (5,), (7,), (8,), (6,)]"
10,16,6,"[(5, 2), (2, 2), (3, 1), (5, 1), (2, 6), (3, 1)]","[(7,), (4,), (1, 3), (6,), (8,)]"
11,4,8,"[(5, 4), (5, 3), (4, 6), (5, 1), (4, 4), (6, 2)]","[(9,), (8,), (3, 7), (6,), (1, 2, 5)]"
12,8,8,"[(2, 2), (4, 1), (2, 4), (6, 3), (2, 5), (5, 1), (3, 2)]","[(4,), (5,), (6,), (9,), (7,), (1, 2, 3)]"
13,11,7,"[(6, 4), (6, 4), (3, 6), (1, 4), (5, 3)]","[(1, 9), (2, 8), (3, 6), (5,)]"
14,23,4,"[(4, 2), (1, 3), (6, 6), (3, 1)]","[(6,), (4,), (3, 9)]"
15,11,7,"[(5, 4), (5, 2), (3, 1), (1, 6), (1, 1), (4, 1), (5, 5)]","[(9,), (7,), (4,), (1, 6), (2,), (5,)]"
16,9,8,"[(1, 5), (4, 2), (3, 1), (2, 5), (1, 1), (1, 2), (4, 4), (6, 5)]","[(6,), (1, 5), (4,), (7,), (2,), (3,), (8,)]"
17,11,7,"[(2, 2), (1, 2), (5, 5), (4, 6), (4, 3), (5, 5)]","[(4,), (3,), (1, 9), (2, 8), (7,)]"
18,32,4,"[(4, 1), (2, 2), (2, 2), (1, 3)]","[(5,), (4,), (1, 3)]"
19,3,8,"[(5, 6), (3, 6), (4, 2), (1, 6), (2, 2), (4, 1), (2, 5)]","[(2, 9), (1, 8), (6,), (7,), (4,), (5,)]"
20,10,7,"[(6, 4), (4, 2), (1, 6), (3, 2), (3, 4), (3, 6)]","[(1, 9), (6,), (7,), (5,), (3, 4)]"
21,9,7,"[(6, 6), (5, 6), (5, 1), (1, 6), (3, 4)]","[(3, 9), (4, 7), (6,), (2, 5)]"
22,0,9,"[(5, 3), (6, 3), (6, 1), (6, 3), (2, 3), (2, 5)]","[(8,), (9,), (7,), (3, 6), (5,), (1, 2, 4)]"
23,17,7,"[(4, 3), (4, 3), (3, 3), (4, 1), (2, 1), (4, 6)]","[(7,), (1, 6), (2, 4), (5,), (3,)]"
24,6,7,"[(3, 5), (5, 3), (5, 1), (4, 5), (4, 4), (2, 3)]","[(8,), (1, 7), (6,), (9,), (3, 5)]"
25,9,7,"[(6, 2), (3, 6), (3, 1), (3, 1), (6, 5), (2, 4)]","[(8,), (9,), (4,), (1, 3), (5, 6)]"
26,3,7,"[(2, 5), (3, 6), (5, 6), (5, 1), (5, 4), (6, 4)]","[(7,), (9,), (3, 8), (6,), (4, 5)]"
27,12,7,"[(3, 3), (3, 3), (4, 5), (2, 1), (3, 6), (2, 4)]","[(6,), (1, 5), (9,), (3,), (2, 7)]"
