Game Number,Score,Tiles Closed,Rolls,Moves
183,35,4,"[(1, 2), (4, 3), (1, 3)]","[(1, 2), (3, 4)]"
184,22,5,"[(5, 3), (4, 2), (3, 6), (1, 1)]","[(1, 2, 5), (6,), (9,)]"
185,24,6,"[(3, 6), (3, 5), (3, 1), (4, 2)]","[(1, 2, 6), (3, 5), (4,)]"
186,24,6,"[(5, 5), (5, 6), (1, 4)]","[(1, 2, 3, 4), (5, 6)]"
187,38,3,"[(5, 2), (1, 3)]","[(1, 2, 4)]"
188,22,6,"[(5, 5), (6, 2), (2, 3), (2, 1)]","[(1, 2, 3, 4), (8,), (5,)]"
189,35,4,"[(4, 6), (1, 3)]","[(1, 2, 3, 4)]"
190,30,5,"[(1, 1), (3, 5), (2, 3), (1, 4)]","[(2,), (1, 3, 4), (5,)]"
191,21,6,"[(3, 3), (6, 2), (4, 2), (3, 1), (5, 5)]","[(1, 2, 3), (8,), (6,), (4,)]"
192,29,5,"[(1, 4), (5, 6), (2, 2)]","[(1, 4), (2, 3, 6)]"
193,17,7,"[(2, 5), (5, 1), (6, 2), (1, 6), (4, 3)]","[(1, 2, 4), (6,), (3, 5), (7,)]"
194,9,8,"[(6, 6), (6, 6), (1, 6), (3, 2), (2, 4)]","[(1, 2, 3, 6), (4, 8), (7,), (5,)]"
195,21,6,"[(5, 3), (5, 1), (5, 5), (3, 4)]","[(1, 2, 5), (6,), (3, 7)]"
196,17,7,"[(1, 4), (5, 3), (6, 4), (4, 1), (3, 2)]","[(1, 4), (2, 6), (3, 7), (5,)]"
197,24,5,"[(1, 5), (5, 3), (1, 6), (6, 1)]","[(1, 2, 3), (8,), (7,)]"
198,35,4,"[(6, 4), (2, 1)]","[(1, 2, 3, 4)]"
199,26,5,"[(4, 5), (6, 4), (6, 5)]","[(1, 2, 6), (3, 7)]"
200,20,6,"[(4, 3), (4, 6), (4, 4), (4, 3)]","[(1, 2, 4), (3, 7), (8,)]"
201,40,2,"[(4, 1), (1, 3)]","[(1, 4)]"
202,7,8,"[(6, 1), (1, 4), (1, 2), (5, 4), (5, 1), (3, 5), (5, 1)]","[(1, 2, 4), (5,), (3,), (9,), (6,), (8,)]"
203,29,5,"[(4, 2), (3, 1), (1, 5), (1, 3)]","[(1, 2, 3), (4,), (6,)]"
204,16,7,"[(1, 1), (4, 6), (5, 3), (3, 2), (1, 3), (5, 6)]","[(2,), (1, 3, 6), (8,), (5,), (4,)]"
205,9,8,"[(4, 6), (4, 1), (6, 1), (4, 4), (2, 4), (2, 6)]","[(1, 2, 3, 4), (5,), (7,), (8,), (6,)]"
206,28,5,"[(5, 6), (3, 3), (2, 1)]","[(1, 2, 3, 5), (6,)]"
207,39,3,"[(5, 1), (1, 2)]","[(1, 2, 3)]"
208,35,4,"[(4, 6), (1, 1)]","[(1, 2, 3, 4)]"
209,30,5,"[(4, 4), (2, 5), (1, 4)]","[(1, 2, 5), (3, 4)]"
210,38,3,"[(1, 6), (2, 2)]","[(1, 2, 4)]"
211,31,4,"[(3, 4), (3, 4), (2, 5)]","[(1, 2, 4), (7,)]"
212,13,7,"[(3, 2), (2, 4), (5, 4), (6, 6), (1, 6)]","[(1, 4), (6,), (2, 7), (3, 9)]"
213,17,7,"[(3, 1), (1, 4), (4, 2), (3, 4), (4, 2), (5, 6)]","[(1, 3), (5,), (2, 4), (7,), (6,)]"
214,32,4,"[(5, 2), (4, 2), (2, 2)]","[(1, 2, 4), (6,)]"
215,20,6,"[(5, 4), (4, 4), (6, 2), (5, 3)]","[(1, 2, 6), (3, 5), (8,)]"
216,30,5,"[(5, 3), (2, 5), (4, 6)]","[(1, 2, 5), (3, 4)]"
217,29,5,"[(4, 1), (6, 5), (5, 5)]","[(1, 4), (2, 3, 6)]"
218,22,6,"[(6, 1), (3, 5), (6, 2), (5, 6)]","[(1, 2, 4), (3, 5), (8,)]"
219,24,6,"[(4, 4), (2, 4), (4, 3), (1, 4)]","[(1, 2, 5), (6,), (3, 4)]"
220,39,3,"[(2, 1), (2, 1), (1, 2)]","[(1, 2), (3,)]"
221,23,6,"[(1, 6), (6, 2), (5, 2), (1, 3)]","[(1, 2, 4), (3, 5), (7,)]"
222,20,6,"[(6, 6), (1, 3), (6, 3), (2, 1)]","[(1, 2, 3, 6), (4,), (9,)]"
223,30,5,"[(3, 5), (5, 2), (1, 4)]","[(1, 2, 5), (3, 4)]"
224,19,6,"[(1, 4), (2, 3), (5, 4), (4, 3), (6, 6)]","[(1, 4), (2, 3), (9,), (7,)]"
225,30,5,"[(4, 3), (2, 6), (3, 1)]","[(1, 2, 4), (3, 5)]"
226,41,2,"[(2, 2), (2, 1)]","[(1, 3)]"
227,38,3,"[(4, 3), (1, 3)]","[(1, 2, 4)]"
228,24,6,"[(2, 3), (3, 4), (4, 5), (3, 3)]","[(1, 4), (2, 5), (3, 6)]"
229,7,8,"[(6, 4), (6, 5), (2, 6), (6, 3), (5, 4)]","[(1, 2, 3, 4), (5, 6), (8,), (9,)]"
230,22,6,"[(2, 3), (2, 1), (5, 4), (3, 3), (3, 3)]","[(1, 4), (3,), (2, 7), (6,)]"
231,15,7,"[(5, 6), (5, 1), (5, 4), (2, 2), (4, 1)]","[(1, 2, 3, 5), (6,), (9,), (4,)]"
232,27,5,"[(6, 2), (1, 5), (2, 2), (3, 1)]","[(1, 2, 5), (6,), (4,)]"
233,24,6,"[(4, 6), (5, 6), (1, 3)]","[(1, 2, 3, 4), (5, 6)]"
234,17,7,"[(1, 2), (3, 3), (1, 4), (1, 3), (6, 4), (6, 5)]","[(1, 2), (6,), (5,), (4,), (3, 7)]"
235,34,4,"[(1, 3), (6, 1), (4, 1)]","[(1, 3), (2, 5)]"
236,26,5,"[(6, 1), (6, 6), (4, 5)]","[(1, 2, 4), (3, 9)]"
237,19,6,"[(1, 1), (3, 6), (3, 5), (2, 5), (6, 6)]","[(2,), (1, 3, 5), (8,), (7,)]"
238,31,4,"[(1, 2), (4, 1), (1, 5), (1, 1)]","[(1, 2), (5,), (6,)]"
239,40,2,"[(3, 2), (3, 1)]","[(1, 4)]"
240,34,4,"[(6, 2), (1, 2), (1, 2)]","[(1, 2, 5), (3,)]"
241,26,5,"[(5, 3), (2, 2), (4, 3), (2, 3)]","[(1, 2, 5), (4,), (7,)]"
242,5,8,"[(4, 3), (5, 4), (6, 3), (6, 2), (1, 6), (5, 4)]","[(1, 2, 4), (3, 6), (9,), (8,), (7,)]"
243,36,3,"[(3, 6), (4, 2)]","[(1, 2, 6)]"
244,29,5,"[(2, 4), (4, 6), (1, 5)]","[(1, 2, 3), (4, 6)]"
245,16,7,"[(3, 6), (1, 6), (1, 4), (2, 6), (6, 4)]","[(1, 2, 6), (3, 4), (5,), (8,)]"
246,34,4,"[(6, 5), (4, 1)]","[(1, 2, 3, 5)]"
247,39,3,"[(2, 4), (1, 1)]","[(1, 2, 3)]"
248,13,7,"[(4, 4), (5, 3), (5, 5), (2, 4), (5, 6)]","[(1, 2, 5), (8,), (3, 7), (6,)]"
249,34,3,"[(1, 4), (1, 5), (3, 1)]","[(1, 4), (6,)]"
250,27,5,"[(3, 2), (3, 2), (6, 2), (5, 3)]","[(1, 4), (2, 3), (8,)]"
251,35,4,"[(5, 5), (5, 5)]","[(1, 2, 3, 4)]"
252,13,7,"[(1, 2), (1, 3), (5, 1), (5, 4), (6, 4), (4, 5)]","[(1, 2), (4,), (6,), (9,), (3, 7)]"
253,14,7,"[(3, 2), (6, 2), (2, 1), (2, 6), (3, 4), (4, 3)]","[(1, 4), (2, 6), (3,), (8,), (7,)]"
