Game Number,Score,Tiles Closed,Rolls,Moves
1,24,6,"[(1, 3), (2, 6), (3, 6), (3, 3)]","[(1, 3), (2, 6), (4, 5)]"
2,17,7,"[(1, 3), (6, 3), (1, 5), (6, 3), (4, 1)]","[(1, 3), (2, 7), (6,), (4, 5)]"
3,30,5,"[(5, 3), (4, 3), (3, 1)]","[(1, 2, 5), (3, 4)]"
4,21,6,"[(5, 5), (2, 4), (4, 4), (4, 4)]","[(1, 2, 3, 4), (6,), (8,)]"
5,21,6,"[(2, 2), (6, 6), (6, 2), (1, 2)]","[(1, 3), (2, 4, 6), (8,)]"
6,30,5,"[(4, 2), (5, 4), (1, 3)]","[(1, 2, 3), (4, 5)]"
7,30,5,"[(2, 3), (6, 4), (5, 5)]","[(1, 4), (2, 3, 5)]"
8,20,6,"[(6, 3), (4, 5), (4, 3), (2, 2)]","[(1, 2, 6), (4, 5), (7,)]"
9,24,6,"[(6, 5), (5, 5), (1, 1)]","[(1, 2, 3, 5), (4, 6)]"
10,22,6,"[(2, 3), (3, 4), (6, 5), (1, 2)]","[(1, 4), (2, 5), (3, 8)]"
11,19,6,"[(2, 2), (5, 5), (1, 6), (4, 1), (6, 5)]","[(1, 3), (2, 8), (7,), (5,)]"
12,27,5,"[(1, 6), (3, 2), (2, 4), (5, 1)]","[(1, 2, 4), (5,), (6,)]"
13,29,5,"[(1, 4), (2, 1), (3, 5), (5, 6)]","[(1, 4), (3,), (2, 6)]"
14,21,6,"[(1, 1), (2, 5), (2, 5), (5, 3), (1, 3)]","[(2,), (1, 6), (3, 4), (8,)]"
15,15,7,"[(5, 6), (3, 6), (6, 4), (2, 3)]","[(1, 2, 3, 5), (9,), (4, 6)]"
16,22,6,"[(2, 4), (4, 6), (2, 5), (1, 2)]","[(1, 2, 3), (4, 6), (7,)]"
17,8,8,"[(5, 2), (5, 5), (6, 3), (5, 6), (4, 3)]","[(1, 2, 4), (3, 7), (9,), (5, 6)]"
18,16,7,"[(3, 3), (4, 6), (4, 1), (4, 4), (1, 4)]","[(1, 2, 3), (4, 6), (5,), (8,)]"
19,20,6,"[(3, 2), (5, 4), (5, 6), (4, 4)]","[(1, 4), (2, 7), (3, 8)]"
