Game Number,Score,Tiles Closed,Rolls,Moves
39,23,6,"[(4, 4), (6, 1), (5, 2), (3, 2)]","[(1, 2, 5), (3, 4), (7,)]"
40,37,3,"[(3, 5), (3, 2)]","[(1, 2, 5)]"
41,30,5,"[(5, 2), (4, 4), (6, 4)]","[(1, 2, 4), (3, 5)]"
42,25,5,"[(4, 3), (1, 6), (4, 2), (3, 1)]","[(1, 2, 4), (7,), (6,)]"
43,17,7,"[(1, 5), (4, 1), (2, 4), (1, 3), (2, 5), (3, 3)]","[(1, 2, 3), (5,), (6,), (4,), (7,)]"
44,19,6,"[(2, 6), (5, 6), (5, 2), (3, 5)]","[(1, 2, 5), (3, 8), (7,)]"
45,29,5,"[(1, 5), (5, 5), (5, 5)]","[(1, 2, 3), (4, 6)]"
46,24,6,"[(3, 1), (2, 5), (5, 5), (2, 3)]","[(1, 3), (2, 5), (4, 6)]"
47,19,6,"[(1, 6), (3, 4), (6, 6), (2, 5)]","[(1, 2, 4), (7,), (3, 9)]"
48,26,5,"[(4, 4), (3, 5), (1, 2), (1, 1)]","[(1, 2, 5), (8,), (3,)]"
49,21,6,"[(6, 4), (3, 3), (4, 4), (3, 3)]","[(1, 2, 3, 4), (6,), (8,)]"
50,21,6,"[(3, 3), (1, 3), (3, 5), (3, 3), (1, 3)]","[(1, 2, 3), (4,), (8,), (6,)]"
51,39,3,"[(1, 5), (1, 1)]","[(1, 2, 3)]"
52,33,4,"[(2, 2), (2, 6), (2, 1)]","[(1, 3), (2, 6)]"
53,28,5,"[(6, 1), (6, 4), (1, 3)]","[(1, 2, 4), (3, 7)]"
54,15,7,"[(4, 1), (3, 5), (4, 1), (6, 6), (1, 5)]","[(1, 4), (2, 6), (5,), (3, 9)]"
55,23,6,"[(6, 2), (1, 6), (2, 5), (3, 1)]","[(1, 2, 5), (3, 4), (7,)]"
56,36,3,"[(2, 2), (3, 2), (1, 2)]","[(1, 3), (5,)]"
57,30,5,"[(6, 4), (2, 3), (2, 3)]","[(1, 2, 3, 4), (5,)]"
58,17,7,"[(6, 1), (6, 3), (4, 1), (4, 3), (1, 3)]","[(1, 2, 4), (3, 6), (5,), (7,)]"
59,17,7,"[(5, 4), (4, 1), (2, 2), (5, 5), (2, 1)]","[(1, 2, 6), (5,), (4,), (3, 7)]"
60,14,7,"[(1, 2), (4, 5), (3, 5), (2, 5), (3, 1), (1, 3)]","[(1, 2), (3, 6), (8,), (7,), (4,)]"
61,11,7,"[(2, 5), (2, 3), (5, 1), (4, 3), (6, 3), (3, 1)]","[(1, 2, 4), (5,), (6,), (7,), (9,)]"
62,24,6,"[(6, 1), (2, 1), (5, 6), (1, 4)]","[(1, 2, 4), (3,), (5, 6)]"
63,9,8,"[(6, 3), (2, 2), (3, 2), (5, 5), (6, 2), (2, 6)]","[(1, 2, 6), (4,), (5,), (3, 7), (8,)]"
64,37,3,"[(5, 3), (1, 4)]","[(1, 2, 5)]"
65,19,6,"[(6, 2), (2, 6), (5, 5), (2, 3)]","[(1, 2, 5), (8,), (3, 7)]"
66,7,8,"[(4, 5), (2, 6), (5, 4), (6, 6), (1, 2)]","[(1, 2, 6), (3, 5), (9,), (4, 8)]"
67,37,3,"[(2, 6), (3, 2)]","[(1, 2, 5)]"
68,23,6,"[(1, 5), (1, 4), (2, 2), (6, 1), (1, 3)]","[(1, 2, 3), (5,), (4,), (7,)]"
69,17,7,"[(2, 5), (6, 4), (5, 6), (6, 4)]","[(1, 2, 4), (3, 7), (5, 6)]"
70,20,6,"[(3, 5), (6, 2), (5, 4), (1, 5)]","[(1, 2, 5), (8,), (3, 6)]"
71,20,6,"[(2, 1), (2, 1), (5, 6), (6, 2), (5, 2)]","[(1, 2), (3,), (4, 7), (8,)]"
72,28,5,"[(1, 5), (6, 5), (1, 2)]","[(1, 2, 3), (4, 7)]"
73,14,7,"[(3, 4), (5, 5), (6, 2), (4, 2), (1, 6)]","[(1, 2, 4), (3, 7), (8,), (6,)]"
74,28,5,"[(1, 6), (4, 6), (6, 1)]","[(1, 2, 4), (3, 7)]"
75,26,5,"[(5, 1), (4, 4), (1, 4), (6, 2)]","[(1, 2, 3), (8,), (5,)]"
76,35,4,"[(5, 5), (2, 1)]","[(1, 2, 3, 4)]"
77,15,7,"[(3, 2), (2, 1), (2, 5), (5, 4), (3, 3), (4, 6)]","[(1, 4), (3,), (2, 5), (9,), (6,)]"
78,24,6,"[(3, 2), (1, 1), (4, 1), (4, 5), (4, 1)]","[(1, 4), (2,), (5,), (3, 6)]"
79,36,3,"[(5, 4), (1, 5)]","[(1, 2, 6)]"
80,25,5,"[(5, 6), (5, 4), (6, 3)]","[(1, 2, 3, 5), (9,)]"
81,28,5,"[(1, 1), (4, 4), (1, 6), (4, 3)]","[(2,), (1, 3, 4), (7,)]"
82,7,8,"[(4, 4), (4, 2), (1, 3), (6, 6), (3, 5), (1, 3)]","[(1, 2, 5), (6,), (4,), (3, 9), (8,)]"
83,20,6,"[(4, 5), (2, 6), (5, 3), (2, 4)]","[(1, 2, 6), (3, 5), (8,)]"
84,24,6,"[(3, 2), (4, 4), (1, 2), (2, 3), (2, 1)]","[(1, 4), (2, 6), (3,), (5,)]"
85,30,5,"[(6, 1), (2, 6), (1, 2)]","[(1, 2, 4), (3, 5)]"
86,16,7,"[(2, 2), (1, 5), (4, 1), (6, 2), (4, 2), (5, 6)]","[(1, 3), (2, 4), (5,), (8,), (6,)]"
87,24,6,"[(4, 5), (6, 6), (5, 6)]","[(1, 2, 6), (3, 4, 5)]"
88,32,4,"[(6, 1), (5, 1), (4, 2)]","[(1, 2, 4), (6,)]"
89,30,5,"[(6, 5), (1, 3), (1, 2)]","[(1, 2, 3, 5), (4,)]"
90,29,4,"[(2, 6), (6, 2), (1, 4)]","[(1, 2, 5), (8,)]"
91,28,5,"[(6, 1), (4, 6), (3, 4)]","[(1, 2, 4), (3, 7)]"
92,17,7,"[(2, 6), (1, 6), (2, 5), (5, 1), (1, 3)]","[(1, 2, 5), (3, 4), (7,), (6,)]"
93,28,5,"[(3, 3), (1, 4), (5, 1), (2, 3)]","[(1, 2, 3), (5,), (6,)]"
94,27,5,"[(3, 3), (3, 2), (5, 2), (1, 2)]","[(1, 2, 3), (5,), (7,)]"
95,13,7,"[(1, 4), (1, 2), (6, 5), (1, 5), (4, 3), (5, 5)]","[(1, 4), (3,), (2, 9), (6,), (7,)]"
96,26,5,"[(3, 4), (4, 1), (4, 3), (1, 6)]","[(1, 2, 4), (5,), (7,)]"
97,29,5,"[(6, 6), (3, 1), (3, 3)]","[(1, 2, 3, 6), (4,)]"
98,12,7,"[(4, 3), (4, 2), (3, 4), (3, 2), (4, 4), (4, 1)]","[(1, 2, 4), (6,), (7,), (5,), (8,)]"
99,30,5,"[(1, 4), (4, 6), (6, 4)]","[(1, 4), (2, 3, 5)]"
100,35,4,"[(4, 6), (6, 4)]","[(1, 2, 3, 4)]"
101,7,8,"[(4, 5), (2, 5), (4, 1), (2, 6), (5, 4), (6, 5)]","[(1, 2, 6), (3, 4), (5,), (8,), (9,)]"
102,30,5,"[(2, 5), (2, 6), (4, 1)]","[(1, 2, 4), (3, 5)]"
103,35,4,"[(2, 1), (6, 1), (1, 1)]","[(1, 2), (3, 4)]"
104,37,3,"[(1, 4), (2, 1), (3, 1)]","[(1, 4), (3,)]"
105,17,7,"[(4, 2), (6, 1), (5, 5), (4, 1), (6, 5)]","[(1, 2, 3), (7,), (4, 6), (5,)]"
106,31,4,"[(2, 5), (6, 1), (4, 3)]","[(1, 2, 4), (7,)]"
107,7,8,"[(6, 3), (5, 4), (5, 6), (6, 3), (6, 3)]","[(1, 2, 6), (4, 5), (3, 8), (9,)]"
108,9,8,"[(1, 5), (1, 6), (4, 4), (3, 6), (4, 2), (5, 1)]","[(1, 2, 3), (7,), (8,), (4, 5), (6,)]"
109,35,4,"[(3, 2), (2, 3), (1, 3)]","[(1, 4), (2, 3)]"
110,26,5,"[(5, 6), (5, 3), (3, 2)]","[(1, 2, 3, 5), (8,)]"
111,8,8,"[(5, 6), (1, 5), (6, 5), (3, 6), (1, 3)]","[(1, 2, 3, 5), (6,), (4, 7), (9,)]"
112,24,6,"[(1, 3), (2, 4), (5, 6), (5, 1)]","[(1, 3), (2, 4), (5, 6)]"
113,29,5,"[(4, 5), (2, 5), (4, 6)]","[(1, 2, 6), (3, 4)]"
114,36,3,"[(3, 6), (3, 3)]","[(1, 2, 6)]"
115,23,6,"[(4, 1), (6, 1), (4, 6), (1, 6)]","[(1, 4), (2, 5), (3, 7)]"
116,9,8,"[(1, 5), (6, 1), (2, 6), (6, 3), (1, 5), (1, 4)]","[(1, 2, 3), (7,), (8,), (4, 5), (6,)]"
117,16,7,"[(5, 3), (1, 6), (6, 2), (2, 4), (6, 2)]","[(1, 2, 5), (3, 4), (8,), (6,)]"
118,30,5,"[(1, 6), (2, 1), (3, 2), (5, 6)]","[(1, 2, 4), (3,), (5,)]"
119,23,6,"[(1, 1), (6, 3), (6, 5), (1, 6)]","[(2,), (1, 3, 5), (4, 7)]"
120,34,4,"[(6, 5), (1, 1)]","[(1, 2, 3, 5)]"
121,28,5,"[(6, 3), (1, 4), (2, 1), (4, 2)]","[(1, 2, 6), (5,), (3,)]"
122,14,7,"[(1, 6), (2, 5), (5, 6), (2, 4), (6, 6)]","[(1, 2, 4), (7,), (3, 8), (6,)]"
123,20,6,"[(4, 3), (1, 6), (6, 5), (5, 5)]","[(1, 2, 4), (7,), (3, 8)]"
124,31,4,"[(3, 4), (5, 2), (4, 3)]","[(1, 2, 4), (7,)]"
125,19,6,"[(3, 1), (1, 4), (6, 4), (1, 6), (1, 6)]","[(1, 3), (5,), (2, 8), (7,)]"
126,26,5,"[(6, 2), (5, 6), (6, 2)]","[(1, 2, 5), (3, 8)]"
127,16,7,"[(3, 5), (2, 1), (6, 2), (5, 5), (2, 6)]","[(1, 2, 5), (3,), (8,), (4, 6)]"
128,29,5,"[(1, 6), (2, 1), (5, 1), (2, 4)]","[(1, 2, 4), (3,), (6,)]"
129,40,2,"[(3, 2), (3, 1)]","[(1, 4)]"
130,28,5,"[(6, 2), (3, 6), (2, 1)]","[(1, 2, 5), (3, 6)]"
131,35,4,"[(4, 6), (4, 6)]","[(1, 2, 3, 4)]"
132,27,5,"[(3, 6), (6, 3), (3, 2)]","[(1, 2, 6), (4, 5)]"
133,15,7,"[(3, 4), (6, 1), (5, 3), (5, 3), (4, 1)]","[(1, 2, 4), (7,), (3, 5), (8,)]"
134,18,6,"[(1, 1), (4, 3), (6, 3), (5, 4), (1, 1)]","[(2,), (1, 6), (4, 5), (9,)]"
135,37,3,"[(4, 4), (2, 3)]","[(1, 2, 5)]"
136,28,5,"[(5, 4), (4, 4), (2, 3)]","[(1, 2, 6), (3, 5)]"
137,11,7,"[(3, 5), (5, 1), (2, 1), (4, 5), (2, 6), (5, 1)]","[(1, 2, 5), (6,), (3,), (9,), (8,)]"
138,9,8,"[(2, 6), (1, 5), (6, 1), (5, 2), (3, 5), (1, 6)]","[(1, 2, 5), (6,), (3, 4), (7,), (8,)]"
139,14,7,"[(1, 3), (1, 5), (4, 4), (5, 1), (6, 1), (2, 4)]","[(1, 3), (2, 4), (8,), (6,), (7,)]"
140,20,6,"[(2, 6), (2, 2), (1, 6), (5, 1), (4, 3)]","[(1, 2, 5), (4,), (7,), (6,)]"
141,30,5,"[(1, 6), (6, 2), (1, 4)]","[(1, 2, 4), (3, 5)]"
142,14,7,"[(4, 6), (1, 6), (3, 5), (1, 5), (2, 2)]","[(1, 2, 3, 4), (7,), (8,), (6,)]"
143,5,8,"[(2, 5), (5, 4), (1, 6), (3, 5), (5, 4), (6, 1)]","[(1, 2, 4), (3, 6), (7,), (8,), (9,)]"
144,16,7,"[(5, 6), (4, 6), (3, 5), (5, 3)]","[(1, 2, 3, 5), (4, 6), (8,)]"
145,21,6,"[(1, 6), (4, 2), (6, 5), (3, 5)]","[(1, 2, 4), (6,), (3, 8)]"
146,22,6,"[(5, 2), (3, 3), (5, 5), (4, 6)]","[(1, 2, 4), (6,), (3, 7)]"
147,32,4,"[(5, 2), (4, 2), (3, 1)]","[(1, 2, 4), (6,)]"
148,23,6,"[(1, 6), (2, 6), (2, 5), (3, 4)]","[(1, 2, 4), (3, 5), (7,)]"
149,29,5,"[(1, 1), (3, 5), (2, 4), (1, 3)]","[(2,), (1, 3, 4), (6,)]"
150,22,6,"[(2, 1), (2, 1), (2, 3), (6, 2), (1, 3), (1, 1)]","[(1, 2), (3,), (5,), (8,), (4,)]"
151,21,6,"[(5, 1), (1, 6), (4, 2), (2, 3), (1, 4)]","[(1, 2, 3), (7,), (6,), (5,)]"
152,31,4,"[(3, 4), (1, 6), (2, 2)]","[(1, 2, 4), (7,)]"
153,21,6,"[(5, 2), (1, 2), (2, 6), (3, 3), (6, 2)]","[(1, 2, 4), (3,), (8,), (6,)]"
154,15,7,"[(2, 5), (3, 2), (4, 3), (6, 5), (4, 3)]","[(1, 2, 4), (5,), (7,), (3, 8)]"
155,29,4,"[(4, 4), (5, 3), (4, 1)]","[(1, 2, 5), (8,)]"
156,9,8,"[(6, 2), (4, 6), (5, 3), (6, 4), (6, 1)]","[(1, 2, 5), (3, 7), (8,), (4, 6)]"
157,41,2,"[(3, 1), (2, 1)]","[(1, 3)]"
158,34,4,"[(2, 6), (1, 2), (3, 2)]","[(1, 2, 5), (3,)]"
159,22,6,"[(1, 3), (3, 6), (5, 5), (1, 1)]","[(1, 3), (2, 7), (4, 6)]"
160,15,7,"[(5, 2), (6, 6), (6, 5), (5, 1)]","[(1, 2, 4), (3, 9), (5, 6)]"
161,15,7,"[(4, 5), (4, 3), (6, 3), (3, 2), (2, 2)]","[(1, 2, 6), (3, 4), (9,), (5,)]"
162,28,5,"[(1, 5), (6, 5), (4, 6)]","[(1, 2, 3), (4, 7)]"
163,25,5,"[(3, 6), (6, 5), (4, 4)]","[(1, 2, 6), (3, 8)]"
164,38,3,"[(5, 2), (2, 2)]","[(1, 2, 4)]"
165,22,6,"[(1, 1), (2, 5), (3, 4), (2, 5), (3, 3)]","[(2,), (1, 6), (3, 4), (7,)]"
166,22,6,"[(5, 1), (2, 5), (4, 6), (2, 5)]","[(1, 2, 3), (7,), (4, 6)]"
167,26,5,"[(1, 6), (3, 2), (1, 6), (3, 1)]","[(1, 2, 4), (5,), (7,)]"
168,5,8,"[(6, 3), (3, 4), (5, 4), (1, 6), (2, 6), (4, 2)]","[(1, 2, 6), (3, 4), (9,), (7,), (8,)]"
169,24,5,"[(4, 2), (3, 4), (4, 4), (5, 3)]","[(1, 2, 3), (7,), (8,)]"
170,27,5,"[(4, 5), (6, 3), (2, 3)]","[(1, 2, 6), (4, 5)]"
171,33,4,"[(2, 6), (1, 3), (3, 1)]","[(1, 2, 5), (4,)]"
172,8,8,"[(3, 3), (6, 4), (4, 5), (3, 2), (2, 5), (4, 6)]","[(1, 2, 3), (4, 6), (9,), (5,), (7,)]"
173,14,7,"[(1, 2), (3, 2), (1, 6), (4, 5), (4, 3), (6, 1)]","[(1, 2), (5,), (3, 4), (9,), (7,)]"
174,30,5,"[(4, 6), (3, 2), (2, 3)]","[(1, 2, 3, 4), (5,)]"
175,33,4,"[(6, 6), (5, 5)]","[(1, 2, 3, 6)]"
176,13,7,"[(6, 1), (1, 2), (6, 3), (2, 5), (4, 2), (4, 3)]","[(1, 2, 4), (3,), (9,), (7,), (6,)]"
177,20,6,"[(3, 2), (2, 1), (4, 6), (2, 5), (5, 5)]","[(1, 4), (3,), (2, 8), (7,)]"
178,30,5,"[(2, 5), (3, 5), (6, 6)]","[(1, 2, 4), (3, 5)]"
179,38,3,"[(3, 4), (1, 3)]","[(1, 2, 4)]"
180,30,5,"[(2, 4), (3, 6), (4, 1)]","[(1, 2, 3), (4, 5)]"
181,0,9,"[(2, 2), (1, 4), (5, 5), (4, 5), (5, 1), (2, 5), (2, 2)]","[(1, 3), (5,), (2, 8), (9,), (6,), (7,), (4,)]"
182,22,6,"[(2, 1), (6, 4), (5, 5), (6, 5)]","[(1, 2), (3, 7), (4, 6)]"
183,35,4,"[(1, 5), (3, 1), (1, 3)]","[(1, 2, 3), (4,)]"
184,7,8,"[(4, 1), (2, 5), (4, 5), (4, 4), (3, 6), (4, 2)]","[(1, 4), (2, 5), (3, 6), (8,), (9,)]"
185,25,5,"[(5, 2), (6, 1), (3, 3), (1, 3)]","[(1, 2, 4), (7,), (6,)]"
186,31,4,"[(2, 5), (3, 4), (1, 1)]","[(1, 2, 4), (7,)]"
187,20,6,"[(4, 1), (1, 4), (6, 1), (5, 3), (1, 2)]","[(1, 4), (2, 3), (7,), (8,)]"
188,16,7,"[(3, 3), (3, 6), (4, 4), (4, 2), (3, 1)]","[(1, 2, 3), (4, 5), (8,), (6,)]"
189,26,5,"[(5, 2), (3, 2), (3, 4), (5, 2)]","[(1, 2, 4), (5,), (7,)]"
190,24,6,"[(3, 2), (3, 3), (2, 1), (5, 2), (6, 5)]","[(1, 4), (6,), (3,), (2, 5)]"
191,7,8,"[(5, 3), (2, 6), (6, 6), (6, 4), (5, 1)]","[(1, 2, 5), (8,), (3, 9), (4, 6)]"
192,15,7,"[(6, 4), (6, 6), (5, 3), (6, 6)]","[(1, 2, 3, 4), (5, 7), (8,)]"
193,24,6,"[(5, 6), (6, 4), (3, 2)]","[(1, 2, 3, 5), (4, 6)]"
194,4,8,"[(4, 4), (5, 6), (3, 4), (6, 3), (4, 2), (1, 4)]","[(1, 2, 5), (3, 8), (7,), (9,), (6,)]"
195,12,7,"[(6, 2), (3, 1), (3, 5), (2, 4), (1, 6), (2, 3)]","[(1, 2, 5), (4,), (8,), (6,), (7,)]"
196,31,4,"[(2, 2), (6, 4), (1, 2)]","[(1, 3), (2, 8)]"
197,27,5,"[(5, 5), (2, 6), (2, 6)]","[(1, 2, 3, 4), (8,)]"
198,30,5,"[(4, 6), (3, 2), (2, 1)]","[(1, 2, 3, 4), (5,)]"
199,26,5,"[(4, 2), (1, 5), (2, 5), (2, 4)]","[(1, 2, 3), (6,), (7,)]"
200,15,7,"[(5, 5), (2, 4), (6, 3), (3, 2), (4, 2)]","[(1, 2, 3, 4), (6,), (9,), (5,)]"
201,13,7,"[(2, 5), (6, 6), (2, 5), (4, 2), (6, 6)]","[(1, 2, 4), (3, 9), (7,), (6,)]"
202,22,6,"[(3, 3), (6, 5), (2, 4), (4, 2)]","[(1, 2, 3), (4, 7), (6,)]"
203,27,5,"[(5, 1), (2, 5), (4, 1), (4, 3)]","[(1, 2, 3), (7,), (5,)]"
204,0,9,"[(5, 6), (3, 4), (1, 5), (3, 1), (6, 3), (6, 2)]","[(1, 2, 3, 5), (7,), (6,), (4,), (9,), (8,)]"
205,38,3,"[(6, 1), (2, 2)]","[(1, 2, 4)]"
206,23,6,"[(5, 2), (4, 3), (6, 2), (4, 1)]","[(1, 2, 4), (7,), (3, 5)]"
207,26,5,"[(2, 5), (2, 1), (5, 4), (6, 4)]","[(1, 2, 4), (3,), (9,)]"
208,38,3,"[(1, 6), (1, 1)]","[(1, 2, 4)]"
209,33,4,"[(6, 6), (2, 1)]","[(1, 2, 3, 6)]"
210,28,5,"[(3, 6), (2, 6), (3, 2)]","[(1, 2, 6), (3, 5)]"
211,31,4,"[(4, 3), (2, 5), (1, 6)]","[(1, 2, 4), (7,)]"
212,34,4,"[(1, 1), (5, 1), (1, 2), (1, 2)]","[(2,), (1, 5), (3,)]"
213,4,8,"[(5, 6), (1, 6), (2, 4), (4, 4), (4, 5), (1, 5)]","[(1, 2, 3, 5), (7,), (6,), (8,), (9,)]"
214,16,7,"[(4, 1), (4, 2), (6, 4), (4, 4), (1, 4)]","[(1, 4), (6,), (2, 3, 5), (8,)]"
215,32,4,"[(6, 3), (3, 1), (2, 4)]","[(1, 2, 6), (4,)]"
216,36,3,"[(4, 5), (1, 5)]","[(1, 2, 6)]"
217,15,7,"[(5, 4), (2, 3), (3, 6), (6, 1), (4, 5)]","[(1, 2, 6), (5,), (9,), (3, 4)]"
218,35,4,"[(6, 4), (4, 6)]","[(1, 2, 3, 4)]"
219,23,6,"[(2, 3), (6, 1), (6, 4), (5, 2)]","[(1, 4), (2, 5), (3, 7)]"
220,22,6,"[(6, 6), (5, 6), (4, 6)]","[(1, 2, 3, 6), (4, 7)]"
221,23,6,"[(1, 4), (6, 4), (5, 2), (4, 3)]","[(1, 4), (2, 3, 5), (7,)]"
222,17,7,"[(6, 1), (4, 6), (6, 5), (4, 2)]","[(1, 2, 4), (3, 7), (5, 6)]"
223,21,6,"[(1, 6), (2, 4), (6, 5), (6, 2)]","[(1, 2, 4), (6,), (3, 8)]"
224,8,8,"[(3, 2), (6, 2), (4, 5), (1, 6), (2, 6), (4, 1)]","[(1, 4), (2, 6), (9,), (7,), (3, 5)]"
225,17,7,"[(6, 3), (2, 1), (6, 3), (3, 4), (5, 2)]","[(1, 2, 6), (3,), (4, 5), (7,)]"
226,27,5,"[(5, 6), (1, 6), (4, 3)]","[(1, 2, 3, 5), (7,)]"
227,27,5,"[(3, 3), (6, 6), (5, 3)]","[(1, 2, 3), (4, 8)]"
228,27,5,"[(4, 6), (2, 6), (4, 4)]","[(1, 2, 3, 4), (8,)]"
229,22,6,"[(6, 3), (1, 3), (4, 6), (5, 5)]","[(1, 2, 6), (4,), (3, 7)]"
230,34,4,"[(2, 2), (1, 6), (2, 1)]","[(1, 3), (2, 5)]"
231,24,6,"[(6, 5), (2, 2), (2, 4), (6, 5)]","[(1, 2, 3, 5), (4,), (6,)]"
232,29,5,"[(2, 2), (1, 3), (6, 2), (5, 5)]","[(1, 3), (4,), (2, 6)]"
233,30,5,"[(1, 1), (1, 5), (6, 1), (1, 3)]","[(2,), (1, 5), (3, 4)]"
234,29,5,"[(1, 6), (6, 3), (2, 1)]","[(1, 2, 4), (3, 6)]"
235,7,8,"[(2, 6), (3, 3), (2, 5), (5, 4), (6, 2), (2, 2)]","[(1, 2, 5), (6,), (3, 4), (9,), (8,)]"
236,15,7,"[(3, 3), (6, 3), (4, 5), (2, 4), (6, 6)]","[(1, 2, 3), (4, 5), (9,), (6,)]"
237,33,4,"[(2, 6), (2, 2), (1, 1)]","[(1, 2, 5), (4,)]"
238,13,7,"[(6, 6), (3, 5), (6, 6), (2, 6)]","[(1, 2, 3, 6), (8,), (5, 7)]"
239,19,6,"[(3, 5), (3, 5), (3, 3), (2, 2), (5, 6)]","[(1, 2, 5), (8,), (6,), (4,)]"
240,21,6,"[(4, 5), (1, 6), (6, 2), (1, 2)]","[(1, 2, 6), (3, 4), (8,)]"
241,22,6,"[(5, 5), (5, 3), (1, 4), (1, 2)]","[(1, 2, 3, 4), (8,), (5,)]"
242,15,7,"[(4, 6), (1, 6), (3, 2), (5, 3), (4, 4)]","[(1, 2, 3, 4), (7,), (5,), (8,)]"
243,35,4,"[(4, 6), (1, 2)]","[(1, 2, 3, 4)]"
244,33,4,"[(2, 6), (2, 2), (1, 1)]","[(1, 2, 5), (4,)]"
245,13,7,"[(5, 1), (6, 2), (5, 4), (3, 6), (6, 3)]","[(1, 2, 3), (8,), (4, 5), (9,)]"
246,0,9,"[(3, 3), (6, 2), (6, 6), (6, 3), (6, 4)]","[(1, 2, 3), (8,), (5, 7), (9,), (4, 6)]"
247,22,6,"[(3, 3), (4, 2), (6, 5), (6, 5)]","[(1, 2, 3), (6,), (4, 7)]"
248,8,8,"[(3, 2), (5, 5), (4, 3), (4, 5), (3, 3), (1, 5)]","[(1, 4), (2, 3, 5), (7,), (9,), (6,)]"
