Game Number,Score,Tiles Closed,Rolls,Moves
1,20,6,"[(4, 6), (6, 2), (2, 5), (6, 4)]","[(1, 2, 3, 4), (8,), (7,)]"
2,26,5,"[(4, 4), (3, 1), (5, 2), (1, 1)]","[(1, 2, 5), (4,), (7,)]"
3,35,4,"[(6, 4), (4, 6)]","[(1, 2, 3, 4)]"
4,20,6,"[(4, 4), (3, 3), (6, 5), (6, 4)]","[(1, 2, 5), (6,), (3, 8)]"
5,0,9,"[(4, 2), (2, 5), (3, 2), (4, 6), (3, 5), (4, 5)]","[(1, 2, 3), (7,), (5,), (4, 6), (8,), (9,)]"
6,21,6,"[(2, 4), (4, 6), (3, 5), (5, 6)]","[(1, 2, 3), (4, 6), (8,)]"
7,27,5,"[(4, 2), (2, 5), (1, 4), (2, 5)]","[(1, 2, 3), (7,), (5,)]"
8,23,6,"[(1, 5), (3, 2), (5, 6), (5, 5)]","[(1, 2, 3), (5,), (4, 7)]"
9,23,6,"[(1, 3), (5, 2), (6, 5), (1, 4)]","[(1, 3), (2, 5), (4, 7)]"
10,23,6,"[(6, 5), (6, 5), (6, 5)]","[(1, 2, 3, 5), (4, 7)]"
11,7,8,"[(6, 2), (6, 6), (6, 4), (2, 6), (1, 3)]","[(1, 2, 5), (3, 9), (4, 6), (8,)]"
12,20,6,"[(4, 2), (1, 3), (5, 2), (4, 4), (6, 1)]","[(1, 2, 3), (4,), (7,), (8,)]"
13,24,6,"[(6, 3), (2, 5), (4, 1), (6, 6)]","[(1, 2, 6), (3, 4), (5,)]"
14,31,4,"[(4, 3), (5, 2), (3, 4)]","[(1, 2, 4), (7,)]"
15,9,8,"[(6, 2), (4, 6), (6, 4), (5, 3), (5, 1)]","[(1, 2, 5), (3, 7), (4, 6), (8,)]"
16,13,7,"[(1, 1), (2, 5), (6, 5), (2, 3), (1, 6), (2, 3)]","[(2,), (1, 6), (3, 8), (5,), (7,)]"
17,26,5,"[(3, 5), (2, 1), (2, 6), (1, 2)]","[(1, 2, 5), (3,), (8,)]"
18,27,5,"[(2, 1), (2, 5), (6, 2), (2, 6)]","[(1, 2), (3, 4), (8,)]"
19,38,3,"[(4, 3), (2, 2)]","[(1, 2, 4)]"
20,17,7,"[(4, 3), (6, 1), (6, 2), (3, 3), (4, 2)]","[(1, 2, 4), (7,), (3, 5), (6,)]"
21,29,4,"[(3, 1), (2, 3), (3, 4), (1, 6)]","[(1, 3), (5,), (7,)]"
22,26,5,"[(3, 2), (5, 1), (2, 6), (2, 2)]","[(1, 4), (6,), (3, 5)]"
23,34,3,"[(1, 4), (3, 3), (1, 5)]","[(1, 4), (6,)]"
24,30,5,"[(1, 6), (5, 3), (6, 5)]","[(1, 2, 4), (3, 5)]"
25,24,6,"[(5, 6), (1, 5), (1, 3), (1, 3)]","[(1, 2, 3, 5), (6,), (4,)]"
26,28,5,"[(1, 6), (6, 4), (4, 3)]","[(1, 2, 4), (3, 7)]"
27,17,7,"[(1, 6), (2, 3), (3, 6), (5, 2), (2, 4)]","[(1, 2, 4), (5,), (3, 6), (7,)]"
28,24,6,"[(6, 6), (3, 2), (2, 2), (6, 6)]","[(1, 2, 3, 6), (5,), (4,)]"
29,25,5,"[(1, 4), (5, 3), (3, 4), (3, 1)]","[(1, 4), (2, 6), (7,)]"
30,29,5,"[(2, 2), (6, 6), (5, 1)]","[(1, 3), (2, 4, 6)]"
31,18,6,"[(3, 6), (5, 6), (6, 1), (5, 5)]","[(1, 2, 6), (3, 8), (7,)]"
32,15,7,"[(2, 6), (2, 4), (3, 6), (4, 3), (5, 5)]","[(1, 2, 5), (6,), (9,), (3, 4)]"
33,25,5,"[(2, 3), (6, 1), (3, 5), (1, 3)]","[(1, 4), (2, 5), (8,)]"
34,24,6,"[(6, 6), (6, 3), (6, 6)]","[(1, 2, 3, 6), (4, 5)]"
35,40,2,"[(4, 1), (1, 3)]","[(1, 4)]"
36,35,4,"[(5, 5), (1, 1)]","[(1, 2, 3, 4)]"
37,37,3,"[(3, 5), (1, 4)]","[(1, 2, 5)]"
38,22,6,"[(1, 2), (2, 1), (4, 3), (5, 5), (6, 6)]","[(1, 2), (3,), (7,), (4, 6)]"
