Game Number,Score,Tiles Closed,Rolls,Moves
1,11,7,"[(1, 2), (4, 1), (3, 5), (5, 4), (3, 6), (1, 5)]","[(1, 2), (5,), (8,), (9,), (3, 6)]"
2,15,6,"[(2, 2), (5, 3), (1, 1), (4, 5), (5, 2), (6, 2)]","[(4,), (8,), (2,), (3, 6), (7,)]"
3,24,5,"[(6, 3), (6, 6), (3, 1)]","[(1, 3, 5), (4, 8)]"
4,22,5,"[(6, 6), (6, 5), (2, 3)]","[(3, 9), (2, 4, 5)]"
5,21,6,"[(3, 5), (3, 6), (1, 6), (3, 2)]","[(1, 2, 5), (3, 6), (7,)]"
6,25,5,"[(1, 4), (1, 6), (5, 3), (5, 2)]","[(1, 4), (7,), (3, 5)]"
7,25,5,"[(5, 4), (5, 6), (1, 2)]","[(2, 3, 4), (5, 6)]"
8,9,8,"[(3, 1), (1, 4), (4, 2), (1, 5), (3, 5), (6, 1), (4, 4)]","[(1, 3), (5,), (2, 4), (6,), (8,), (7,)]"
9,19,6,"[(6, 1), (2, 5), (6, 6), (1, 6)]","[(1, 6), (3, 4), (5, 7)]"
10,25,5,"[(1, 6), (3, 2), (3, 5), (2, 3)]","[(1, 2, 4), (5,), (8,)]"
11,14,7,"[(6, 2), (1, 2), (3, 3), (2, 4), (5, 3), (3, 5)]","[(1, 7), (3,), (6,), (2, 4), (8,)]"
12,13,7,"[(2, 4), (3, 4), (3, 2), (5, 3), (1, 5), (6, 4)]","[(6,), (7,), (2, 3), (8,), (1, 5)]"
13,24,6,"[(5, 1), (1, 4), (5, 5), (1, 2)]","[(1, 5), (2, 3), (4, 6)]"
14,11,7,"[(6, 5), (4, 5), (3, 5), (5, 1), (2, 1)]","[(1, 3, 7), (4, 5), (8,), (6,)]"
15,16,7,"[(3, 4), (5, 3), (3, 5), (1, 5), (6, 6)]","[(3, 4), (1, 2, 5), (8,), (6,)]"
16,16,6,"[(5, 6), (6, 6), (5, 1), (5, 1)]","[(4, 7), (1, 2, 9), (6,)]"
17,24,6,"[(1, 2), (2, 1), (1, 3), (5, 6), (3, 2)]","[(3,), (1, 2), (4,), (5, 6)]"
18,9,8,"[(3, 4), (2, 4), (5, 3), (5, 2), (3, 5), (4, 6)]","[(1, 6), (2, 4), (3, 5), (7,), (8,)]"
19,19,6,"[(3, 2), (3, 1), (5, 6), (4, 2), (5, 1)]","[(5,), (4,), (1, 2, 8), (6,)]"
20,19,5,"[(3, 1), (4, 4), (4, 2), (3, 5), (3, 1)]","[(4,), (1, 7), (6,), (8,)]"
21,21,6,"[(2, 3), (6, 5), (5, 3), (4, 6)]","[(2, 3), (5, 6), (1, 7)]"
22,35,4,"[(5, 1), (2, 2), (3, 1)]","[(2, 4), (1, 3)]"
23,9,7,"[(2, 4), (2, 6), (6, 3), (1, 4), (5, 3), (2, 3)]","[(6,), (1, 3, 4), (9,), (5,), (8,)]"
24,22,6,"[(2, 2), (1, 1), (3, 4), (4, 6), (5, 5)]","[(1, 3), (2,), (7,), (4, 6)]"
25,8,8,"[(1, 3), (5, 1), (5, 3), (5, 5), (5, 4), (5, 5)]","[(4,), (6,), (3, 5), (1, 2, 7), (9,)]"
26,30,5,"[(6, 5), (2, 2), (2, 3)]","[(1, 2, 3, 5), (4,)]"
27,25,5,"[(2, 2), (2, 4), (4, 6), (2, 1)]","[(1, 3), (6,), (2, 8)]"
28,13,7,"[(1, 4), (1, 6), (3, 5), (3, 4), (2, 3), (2, 6)]","[(2, 3), (7,), (8,), (1, 6), (5,)]"
29,13,7,"[(3, 2), (6, 6), (3, 5), (5, 2), (2, 6)]","[(5,), (2, 3, 7), (8,), (1, 6)]"
30,27,4,"[(3, 6), (5, 4), (1, 6)]","[(3, 6), (2, 7)]"
31,22,5,"[(2, 1), (1, 3), (3, 6), (2, 5), (1, 1)]","[(1, 2), (4,), (9,), (7,)]"
32,2,8,"[(6, 6), (4, 5), (1, 4), (1, 6), (6, 4), (3, 1)]","[(3, 9), (1, 8), (5,), (7,), (4, 6)]"
33,17,7,"[(6, 5), (1, 5), (3, 4), (3, 1), (3, 1)]","[(1, 2, 3, 5), (6,), (7,), (4,)]"
34,26,4,"[(3, 5), (4, 3), (1, 3), (3, 1)]","[(8,), (1, 6), (4,)]"
35,16,6,"[(2, 2), (3, 4), (5, 4), (3, 6), (3, 6)]","[(4,), (1, 6), (2, 7), (9,)]"
36,17,6,"[(6, 5), (6, 4), (4, 3), (5, 6)]","[(4, 7), (2, 8), (1, 6)]"
37,11,7,"[(5, 6), (4, 5), (2, 5), (5, 2), (6, 6)]","[(2, 4, 5), (9,), (1, 6), (7,)]"
38,27,5,"[(2, 5), (5, 6), (1, 3)]","[(1, 6), (2, 4, 5)]"
39,30,4,"[(5, 2), (3, 5), (1, 3)]","[(3, 4), (2, 6)]"
40,32,4,"[(5, 3), (3, 2), (2, 4)]","[(2, 6), (1, 4)]"
41,13,6,"[(3, 3), (5, 5), (1, 4), (1, 6), (1, 3), (3, 3)]","[(6,), (2, 8), (5,), (7,), (4,)]"
42,27,4,"[(6, 5), (1, 6), (5, 2)]","[(2, 3, 6), (7,)]"
43,29,5,"[(5, 5), (5, 1), (2, 2)]","[(1, 2, 3, 4), (6,)]"
44,40,2,"[(3, 2), (1, 2)]","[(2, 3)]"
45,24,5,"[(4, 4), (1, 5), (6, 1), (2, 1)]","[(1, 3, 4), (6,), (7,)]"
46,35,3,"[(6, 4), (1, 3)]","[(1, 4, 5)]"
47,31,4,"[(3, 2), (3, 6), (5, 6)]","[(2, 3), (4, 5)]"
48,15,7,"[(3, 3), (2, 6), (2, 3), (6, 5), (2, 3)]","[(2, 4), (8,), (5,), (1, 3, 7)]"
49,14,6,"[(6, 1), (6, 5), (3, 5), (1, 4), (2, 3)]","[(1, 6), (2, 9), (8,), (5,)]"
50,12,7,"[(1, 3), (4, 2), (4, 3), (4, 6), (4, 2), (1, 5)]","[(4,), (6,), (7,), (2, 8), (1, 5)]"
51,23,6,"[(1, 3), (5, 1), (1, 4), (4, 3), (6, 1)]","[(4,), (1, 5), (2, 3), (7,)]"
52,24,6,"[(6, 2), (4, 2), (3, 4), (1, 5)]","[(3, 5), (6,), (1, 2, 4)]"
53,13,7,"[(6, 6), (4, 1), (1, 6), (5, 3), (3, 4)]","[(2, 3, 7), (5,), (1, 6), (8,)]"
54,23,6,"[(1, 6), (4, 4), (2, 5), (1, 3)]","[(3, 4), (1, 2, 5), (7,)]"
